단어,빈도수
.,8160
을,4931
이,3542
의,3078
에,2703
",",2644
은,2431
는,2274
를,2273
그,1778
가,1694
것,1617
들,1269
으로,990
한,948
했다,917
있었다,896
명윤,893
나,857
에서,806
로,737
"""",700
그녀,673
도,651
장,573
말,572
과,558
의선,529
다,523
고,516
수,507
얼굴,489
눈,463
내,447
있는,445
사람,434
때,430
?,401
이었다,387
인,371
하고,357
하는,345
에게,336
',335
생각,315
뒤,299
처럼,298
자신,285
".""",283
사진,274
안,269
에는,269
와,267
인영,266
까지,266
일,266
못,264
적,258
속,252
듯,250
여자,249
만,245
같은,238
게,235
어둠,231
마치,228
할,224
서,219
해,213
몸,211
"?""",211
없었다,211
지,208
손,207
않았다,207
채,201
이다,195
그것,190
거,187
어,187
다시,186
곳,186
그러나,181
없는,181
때문,178
두,177
라고,169
소리,167
앞,166
전,165
요,161
였다,161
그때,157
아,152
집,150
알,149
시작,149
시간,148
있던,148
장의,146
언니,143
더,142
하지,142
영은,139
날,136
기억,135
같았다,135
문,133
부터,131
검은,130
거리,130
황곡,129
된,129
며,128
머리,123
쪽,121
살,118
고개,118
않은,117
명,117
방,117
아이,117
어머니,117
함께,116
하,116
어디,115
동안,114
밤,114
사,112
번,112
면,111
모두,110
아무,109
목소리,109
하여,109
왜,107
마다,104
쯤,103
처음,103
무엇,103
없이,102
저,102
대답,102
아내,101
탄광,101
었다,100
빛,100
위,100
향,100
모양,99
이야기,98
어깨,98
년,97
서울,96
아버지,93
마음,93
온,92
광부,91
물었다,90
순간,90
했던,89
위해,89
잘,88
길,88
이라는,87
않는,87
개,87
......,86
웃음,86
보았다,86
모습,86
여,86
발,85
장이,85
남자,85
끝,83
이나,83
있,82
에도,82
만큼,82
우리,81
차,81
흰,81
데,81
그런,81
앉아,81
술,80
거기,80
하나,80
있을,79
듯이,79
좀,78
불,78
그렇게,78
하며,78
바람,78
일까,77
이제,77
몇,77
바다,76
입,76
보다,76
짐승,76
옆,76
모든,76
물,76
따라,75
일이,75
인가,74
기,73
목,73
침묵,73
보였다,71
여기,71
하게,70
라는,70
팔,70
등,70
이름,69
임,68
보고,68
힘,68
지금,67
옷,67
사이,67
나를,67
난,67
아낙,67
······,67
두운,67
가장,67
위로,66
무슨,66
비,66
분,65
이라고,65
꿈,65
되어,65
입술,64
걸,64
히,64
전화,64
네,64
인지,63
다른,63
조금,63
!,63
그날,63
벽,62
어느,62
대로,62
대한,62
줄,61
라,61
햇빛,61
들어,60
어떤,60
리,59
간,59
이렇게,58
구,58
함,58
뿐,57
있었,57
숨,57
꼭,57
사진관,57
했었다,57
