단어,빈도수
어둠,1802
그,1156
명윤,646
빛,578
고,510
속,442
세계,408
그녀,408
자신,340
적,340
하고,340
침묵,340
삶,340
나,306
할,306
말,306
인간,306
스스로,272
인,272
같은,272
장,272
와,272
어,238
사실,204
인내,204
한강,204
인영,204
도시,170
곳,170
건,170
못,170
게,170
의선,170
".""",170
있다는,170
아니라,170
안,170
소설,170
검은,170
사슴,170
햇빛,170
뜻,170
만,136
했던,136
없는,136
영은,136
있,136
면,136
서,136
하지만,136
까지,136
그런,136
031,136
두운,136
책,136
생각,136
눈,136
문학동네,136
깊이,102
태도,102
던,102
된다,102
된,102
없다는,102
가난한,102
흰,102
이었다,102
에서도,102
채,102
이고,102
누구,102
없었다,102
사람,102
혹은,102
사랑,102
감,102
깊은,102
피,102
하여,102
음,102
데,102
몸,102
에는,102
알,102
어둡고,102
폐광,102
촌,102
서로,102
나쁜,102
부정,102
그렇게,102
탄광,102
사진,102
상처,102
하지,102
니,102
응시,102
하며,102
인물,102
날,102
우울,102
길,102
좌절,102
그럴,102
아니다,102
꿈,102
무게,68
마침내,68
실감,68
없이,68
라고,68
대하,68
또,68
며,68
않았고,68
끝,68
연약한,68
언니,68
처,68
추하,68
둠의,68
대한,68
슬픔,68
압도,68
반대,68
아니라는,68
세상,68
극복,68
선택,68
잠들,68
밝은,68
정서,68
어디,68
일,68
골짜기,68
쯤,68
터,68
실,68
깨닫고,68
외면,68
으로부터,68
물론,68
끝내,68
사,68
추하고,68
아닐까,68
""".",68
뒤,68
가장,68
두,68
단,68
수만,68
증오,68
하늘,68
하,68
이라는,68
내면,68
뚫고,68
지고,68
거부,68
지속,68
두려운,68
것임,68
하면,68
의지,68
느꼈다,68
누,68
갱도,68
한다,68
하게,68
듯,68
않은,68
번,68
환멸,68
광부,68
깨닫는다,68
사진기,68
그래서,68
본,68
오직,68
서는,68
있을까,68
편집,68
희망,68
여수,68
시절,68
제,68
체,68
화,68
이후,68
환한,68
똑바로,68
혐오,68
만을,68
절망,68
거,68
기,68
운명,68
없다고,68
밝,68
끈질기게,68
따라가서,68
한다는,68
않,68
적막,68
발행,68
지은이,68
전화,68
증명,68
모두,68
마음,34
잠시,34
마,34
편안하게,34
해주어,34
깜박,34
깨어,34
고통스럽다는,34
뜻일,34
강해졌다고,34
믿었던,34
다만,34
참담하게,34
입속,34
중얼거렸었다,34
단지,34
마주,34
보는,34
집요하게,34
해온,34
덕분,34
흐트러짐,34
유지,34
해올,34
있었던,34
뿐,34
맞서기,34
취하,34
분명한,34
주변,34
조차,34
자연,34
스럽게,34
익숙해진,34
더라도,34
당연한,34
것일,34
바꿔,34
늙고,34
받고,34
난했던,34
없었다면,34
줄어들었을,34
까마득히,34
잊고,34
지냈,34
몸속,34
부분,34
어루만지는,34
부드러운,34
눈길,34
의해,34
걷힐,34
반복,34
건대,34
개인,34
아니,34
라,34
드리워진,34
따라서,34
에게나,34
숙명,34
드리워,34
진,34
관념,34
농촌,34
쫓겨나고,34
빈민,34
지역,34
밀려난,34
마지막,34
남겨,34
두었던,34
사업,34
실패,34
쫓기던,34
용서,34
받기,34
힘든,34
죄,34
지은,34
숨어,34
들었던,34
주먹질,34
술,34
여자,34
짙게,34
몰려,34
있었으므로,34
외면하거나,34
쫓아가거나,34
해야만,34
하나,34
에게서,34
찾아볼,34
물들,34
있을,34
같았던,34
젊은이였다,34
교내,34
문학상,34
받아,34
화제,34
되,34
기도,34
대학,34
신입생,34
시간,34
흘렀으니,34
내일,34
밝았으면,34
좋겠다,34
맺는,34
시를,34
썼던,34
람,34
드는,34
교정,34
마주치면,34
차마,34
올려다볼,34
없도록,34
부시,34
하던,34
빛났었다,34
처음,34
이끌,34
린,34
이었는데,34
그건,34
아마,34
빛나게,34
바로,34
이었기,34
이어,34
매료,34
나신,34
광화문,34
지하도,34
삼,34
양동,34
산동,34
네,34
맨발,34
뛰어가는,34
쫓아가서,34
오로지,34
물,34
줄기,34
부딪히는,34
끌어안았던,34
알몸,34
무수,34
사연,34
응축,34
아니었을까,34
알았던,34
싶,34
어했던,34
자연스러운,34
일일,34
의식,34
싫어했,34
영도,34
좋아하지,34
않는다,34
바라보는,34
시선,34
좋아해야만,34
더,34
윤리,34
인데,34
그렇지,34
않으,34
비난,34
싶다는,34
담겨,34
있지는,34
않았겠지만,34
난한,34
바라보지,34
않는다고,34
해서,34
없어지지는,34
않는데,34
모르는,34
척,34
하려는,34
안타깝다는,34
들어,34
있었을,34
싫어하는,34
유복하게,34
자랐기,34
아,34
라는,34
짐작,34
오히려,34
안간힘,34
다해,34
빠져나온,34
빠져나오려,34
구덩이,34
다시,34
들여다보고,34
싶지,34
떨치지,34
가난,34
불운,34
세파,34
놓아주지,34
찾아간,34
정말,34
편안해요,34
무덤,34
같아요,34
라며,34
쓰러졌을,34
붙잡혔다고,34
해야,34
맞을,34
어쩌면,34
몸뚱이,34
들리,34
붙은,34
눅눅한,34
떨어져,34
나간,34
공포,34
공허,34
몸소,34
꿰뚫어,34
볼,34
해주었,34
않았다고,34
헤쳐,34
온,34
각자,34
익숙하게,34
여긴,34
까닭,34
다면,34
강함이라,34
기보,34
비겁함이었음,34
정말로,34
원했다고,34
염,34
멀어진,34
두꺼운,34
http,34
복판,34
해,34
955-8888,34
길이,34
정작,34
바라봐야,34
실체,34
른,34
www.munhak.com,34
완전히,34
둠,34
참는,34
뭔,34
지,34
알고는,34
있니,34
이라도,34
제대로,34
참아,34
들어가,34
있어,34
"?""",34
다그,34
치고,34
제기랄,34
······,34
바늘,34
찔러도,34
방울,34
웅크렸으나,34
"!""",34
이라고,34
몰아,34
세웠으나,34
입은,34
"(""",34
짐승,34
상대,34
얼굴,34
웅크리고,34
등뒤,34
검게,34
펼쳐진,34
느끼곤,34
외부,34
맨,34
쏘아보았,34
살로,34
할퀼,34
필요,34
쏘아보아야,34
직접,34
모를,34
듯이,34
들어가기를,34
원했던,34
이는,34
사진작가,34
표면,34
비출,34
뿐이니,34
세,34
계,34
느낄,34
없게,34
육체,34
덩어리,34
싶었다고,34
옥죄,34
위협,34
내,34
외투,34
감싼,34
따라다,34
몰라,34
""")",34
아니었을,34
보다,34
민감하게,34
지각,34
했음에도,34
맡기는,34
오히,34
려,34
생,34
죽음,34
됨의,34
의무,34
합당,34
하다고,34
죄책감,34
길고,34
험한,34
간신히,34
비로소,34
맞이,34
조차도,34
기꺼이,34
감당,34
보았던,34
잊지,34
어린,34
비,34
로소,34
끝났다는,34
남아,34
있었다는,34
벅찬,34
감각,34
유일한,34
해준,34
가운,34
막상,34
내밀었을,34
쏘는,34
감았으며,34
기쁨,34
대신,34
강한,34
부끄러움,34
장의,34
경사,34
떠들,34
체험,34
생긴,34
만은,34
아니었,34
더욱,34
택,34
이유,34
암실,34
느낀,34
환희,34
원기,34
회복할,34
예술,34
묘,34
삼킨,34
느꼈던,34
무렵,34
무너진,34
버틴,34
수심,34
소식,34
듣고,34
황곡,34
찾은,34
젊은,34
보내게,34
에게는,34
그저,34
익숙해지는,34
함께,34
사는,34
방식,34
아니었다,34
먹,34
찍는,34
아무,34
구원,34
이라,34
먹한,34
사이,34
놓인,34
간격,34
진기,34
어느,34
들어갈,34
시작,34
끝나는,34
사진이었다,34
포착,34
인화,34
지에,34
드러난,34
빛일,34
뿐이었다,34
냄새,34
맡고,34
통증,34
느끼고,34
흘릴,34
생생하였다니,34
향,34
막,34
받기에는,34
되려고,34
문,34
닫고,34
떠나,34
버린,34
음산한,34
황곡시,34
발,34
묶었다,34
깊음,34
각각,34
두려움,34
서글픔,34
복기,34
해보았다,34
아직,34
외,34
롭고,34
슬프고,34
피로한,34
정처,34
헤매는,34
비애,34
어렸던,34
고통스럽게만,34
아닐지도,34
모른다,34
결박,34
이전,34
묶였던,34
당함으로써,34
첫,34
지키려,34
했고,34
그럼,34
으로써,34
에도,34
거나,34
않고서도,34
동시,34
유사한,34
많았는,34
억눌리거나,34
해설,34
파묻히지,34
김병익,34
바라볼,34
빌려,34
기쁠,34
다는,34
일상,34
가지,34
방향성,34
당,34
무력한,34
오기,34
버티면서,34
버리고,34
젊음,34
던지며,34
참,34
담한,34
우수,34
젖어,34
들이었고,34
타,34
당해,34
보일,34
수도,34
공,34
히,34
다루는,34
빈곤,34
어찌,34
차라리,34
빚,34
어진,34
가정,34
파탄,34
살아야,34
전시,34
대적,34
세태,34
관련,34
점,34
따뜻함이나,34
검,34
이어진,34
우,34
울,34
비참,34
등,34
규정,34
하려니,34
조금,34
주저,34
걷어,34
낼,34
통과,34
결핍,34
에만,34
시달려야,34
하는가,34
아니라고,34
싶은,34
근원,34
존재,34
것이므,34
도저히,34
지울,34
편안함,34
므,34
마냥,34
여겨,34
된다거나,34
오인,34
하자는,34
기분,34
거의,34
드러난다,34
해도,34
환함이나,34
개,34
최근,34
검정,34
흰색,34
나타났다고,34
거기,34
할수,34
알려,34
준,34
대로,34
텅,34
빔,34
blank,34
blanc,34
검음,34
black,34
불꽃,34
flame,34
""",",34
반,34
대,34
이기,34
보다는,34
통,34
희거나,34
검거,34
밝거나,34
어둡거나,34
높고,34
화려하고,34
시끄러운,34
있지,34
찾아다니며,34
작고,34
조용한,34
저으,34
떴다,34
있게,34
만들고,34
긍정,34
하고야,34
만다,34
따뜻하게,34
감싸안고,34
달콤하게,34
위로,34
차가운,34
체념,34
긴장,34
고투,34
대결,34
치열하지만,34
따뜻하지,34
차창,34
해롭지,34
않지만,34
다행,34
스럽다,34
결코,34
벗겨지지,34
절대로,34
벗겨질,34
따라가는,34
이야,34
혹독함이,34
존엄,34
함,34
정념,34
용기,34
변할,34
돌아서지,34
않는,34
연약함을,34
연약함으로,34
인한,34
고통,34
전환,34
그리고,34
우리,34
하여금,34
안도,34
고마워하게,34
이마,34
국문학,34
전집,34
024,34
C,34
2017,34
초판,34
붙이,34
2017년,34
12월,34
20일,34
전자책,34
2018년,34
1월,34
8일,34
질주,34
펴낸이,34
믿지,34
현숙,34
펴낸,34
주,34
출판,34
등록,34
1993년,34
10월,34
22일,34
406-2003,34
000045,34
호,34
주소,34
10881,34
경기도,34
파주시,34
회,34
동,34
210,34
전자우편,34
대표,34
입자,34
뚫어지게,34
바라보았다,34
팩스,34
문의,34
마케팅,34
카페,34
진정,34
판권,34
있습니다,34
내용,34
전부,34
또는,34
재사용,34
하려면,34
반드시,34
양,34
측,34
서면,34
동의,34
받아야,34
합니다,34
낮고,34
