단어,빈도수
그,1629
것,1617
명윤,893
나,799
그녀,673
말,572
장,557
의선,529
얼굴,489
수,485
눈,463
사람,434
때,429
내,410
이,403
생각,315
뒤,299
자신,285
사진,274
인영,266
안,264
듯,250
여자,249
속,237
일,235
어둠,231
마치,228
몸,211
손,207
채,201
그것,190
거,187
곳,186
다시,186
때문,178
소리,167
앞,166
인,162
고,162
그때,158
전,153
의,151
집,150
시작,149
알,149
시간,148
장의,146
언니,143
두,143
더,142
영은,139
날,136
기억,135
게,131
거리,130
황곡,129
문,127
를,125
머리,123
쪽,121
고개,118
아이,117
어머니,117
방,117
살,117
명,116
어디,115
동안,114
밤,114
번,112
모두,110
목소리,109
왜,107
못,104
처음,103
무엇,103
대답,102
탄광,101
아내,101
위,100
빛,100
향,100
모양,99
었다,99
이야기,98
어깨,98
년,97
서울,96
은,95
마음,93
아버지,93
광부,91
순간,90
온,90
위해,89
길,88
모습,86
웃음,86
발,85
남자,85
저,84
끝,83
적,83
데,81
우리,81
차,81
술,80
하나,80
개,80
거기,80
듯이,79
도,78
좀,78
바람,78
불,78
어,77
이제,77
짐승,76
바다,76
모든,76
입,76
물,76
옆,76
만큼,75
몇,73
목,73
침묵,73
로,72
여기,71
만,70
등,70
해,69
이름,69
힘,68
임,68
보고,68
지금,67
옷,67
아낙,67
가장,67
두운,67
난,67
사이,67
무슨,66
사,66
위로,66
비,65
꿈,65
입술,64
전화,64
걸,64
다른,63
조금,63
그날,63
분,62
벽,62
대한,62
줄,61
햇빛,61
기,60
리,59
요,58
함,58
팔,58
꼭,57
숨,57
사진관,57
선배,57
시선,56
이상,56
피,55
선,55
가지,54
아침,54
거의,54
애,53
사택,53
오히려,53
자리,53
카메라,53
바로,52
뭐,52
볼,52
남아,51
눈물,51
대신,51
얼마나,50
달,49
버스,49
다음,49
도시,48
기사,48
층,48
따위,48
건,48
네,48
사내,48
막장,47
하늘,47
전혀,46
잠시,46
아무,46
바닥,46
역시,45
세,45
가슴,45
겨울,45
누군가,45
마,45
산,45
혼자,45
진,45
누구,45
상처,44
계속,44
정말,44
간,44
구,44
세상,44
감,44
잠,43
부분,43
해도,43
보,43
음,43
주인,43
오,42
갱도,42
면,42
마을,41
